ANO,UFCOD,IDADE,SEXO,POPULACAO
2001,14,A3939,M,2128
2001,14,A4040,M,2040
2001,14,A4141,M,1946
2001,14,A4242,M,1852
2001,14,A4343,M,1766
2001,14,A4444,M,1683
2001,14,A4545,M,1610
2001,14,A4646,M,1542
2001,14,A4747,M,1468
2001,14,A4848,M,1406
2001,14,A4949,M,1334
2001,14,A5050,M,1258
2001,14,A5151,M,1191
2001,14,A5252,M,1116
2001,14,A5353,M,1042
2001,14,A5454,M,967
2001,14,A5555,M,896
2001,14,A5656,M,834
2001,14,A5757,M,765
2001,14,A5858,M,710
2001,14,A5959,M,670
2001,14,A6060,M,630
2001,14,A6161,M,598
2001,14,A6262,M,568
2001,14,A6363,M,543
2001,14,A6464,M,509
2001,14,A6565,M,477
2001,14,A6666,M,448
2001,14,A6767,M,418
2001,14,A6868,M,398
2001,14,A6969,M,368
2001,14,A7070,M,350
2001,14,A7171,M,324
2001,14,A7272,M,304
2001,14,A7373,M,280
2001,14,A7474,M,254
2001,14,A7575,M,229
2001,14,A7676,M,208
2001,14,A7777,M,193
2001,14,A7878,M,174
2001,14,A7979,M,156
2001,14,A8080,M,143
2001,14,A8181,M,130
2001,14,A8282,M,116
2001,14,A8383,M,103
2001,14,A8484,M,89
2001,14,A8585,M,75
2001,14,A8686,M,63
2001,14,A8787,M,51
2001,14,A8888,M,42
2001,14,A8989,M,34
2001,14,A9090,M,120
2001,14,A0000,F,5288
2001,14,A0101,F,5352
2001,14,A0202,F,5328
2001,14,A0303,F,5244
2001,14,A0404,F,5152
2001,14,A0505,F,5040
2001,14,A0606,F,4920
2001,14,A0707,F,4758
2001,14,A0808,F,4574
2001,14,A0909,F,4386
2001,14,A1010,F,4216
2001,14,A1111,F,4076
2001,14,A1212,F,3990
2001,14,A1313,F,3950
2001,14,A1414,F,3936
2001,14,A1515,F,3912
2001,14,A1616,F,3884
2001,14,A1717,F,3860
2001,14,A1818,F,3818
2001,14,A1919,F,3794
2001,14,A2020,F,3765
2001,14,A2121,F,3717
2001,14,A2222,F,3623
2001,14,A2323,F,3496
2001,14,A2424,F,3358
2001,14,A2525,F,3204
2001,14,A2626,F,3068
2001,14,A2727,F,2950
2001,14,A2828,F,2846
2001,14,A2929,F,2737
2001,14,A3030,F,2638
2001,14,A3131,F,2546
2001,14,A3232,F,2466
2001,14,A3333,F,2408
2001,14,A3434,F,2344
2001,14,A3535,F,2275
2001,14,A3636,F,2212
2001,14,A3737,F,2132
2001,14,A3838,F,2052
2001,14,A3939,F,1974
2001,14,A4040,F,1890
2001,14,A4141,F,1804
2001,14,A4242,F,1716
2001,14,A4343,F,1632
2001,14,A4444,F,1538
2001,14,A4545,F,1448
2001,14,A4646,F,1355
2001,14,A4747,F,1270
2001,14,A4848,F,1176
2001,14,A4949,F,1082
2001,14,A5050,F,1006
2001,14,A5151,F,920
2001,14,A5252,F,840
2001,14,A5353,F,770
2001,14,A5454,F,712
2001,14,A5555,F,666
2001,14,A5656,F,626
2001,14,A5757,F,580
2001,14,A5858,F,552
2001,14,A5959,F,518
2001,14,A6060,F,495
2001,14,A6161,F,475
2001,14,A6262,F,451
2001,14,A6363,F,426
2001,14,A6464,F,401
2001,14,A6565,F,380
2001,14,A6666,F,356
2001,14,A6767,F,334
2001,14,A6868,F,310
2001,14,A6969,F,298
2001,14,A7070,F,281
2001,14,A7171,F,272
2001,14,A7272,F,257
2001,14,A7373,F,250
2001,14,A7474,F,240
2001,14,A7575,F,223
2001,14,A7676,F,208
2001,14,A7777,F,200
2001,14,A7878,F,176
2001,14,A7979,F,158
2001,14,A8080,F,148
2001,14,A8181,F,134
2001,14,A8282,F,120
2001,14,A8383,F,106
2001,14,A8484,F,94
2001,14,A8585,F,82
2001,14,A8686,F,71
2001,14,A8787,F,59
2001,14,A8888,F,48
2001,14,A8989,F,36
2001,14,A9090,F,166
2001,15,A0000,M,85997
2001,15,A0101,M,85728
2001,15,A0202,M,85296
2001,15,A0303,M,84658
2001,15,A0404,M,83872
2001,15,A0505,M,83004
2001,15,A0606,M,82205
2001,15,A0707,M,81470
2001,15,A0808,M,80798
2001,15,A0909,M,79980
2001,15,A1010,M,79104
2001,15,A1111,M,78472
2001,15,A1212,M,78222
2001,15,A1313,M,78154
2001,15,A1414,M,78126
2001,15,A1515,M,77864
2001,15,A1616,M,77286
2001,15,A1717,M,76272
2001,15,A1818,M,74904
2001,15,A1919,M,73477
2001,15,A2020,M,71966
2001,15,A2121,M,70106
2001,15,A2222,M,67806
2001,15,A2323,M,65206
2001,15,A2424,M,62440
2001,15,A2525,M,59744
2001,15,A2626,M,57258
2001,15,A2727,M,55122
2001,15,A2828,M,53262
2001,15,A2929,M,51516
2001,15,A3030,M,49770
2001,15,A3131,M,48117
2001,15,A3232,M,46534
2001,15,A3333,M,45000
